PO Item Description,HS Code
BAG:FLTR;600 X 592 X 592 MM,84212990
"PUMP;SPARE,WO MOT",84138113
ASSEMBLY;FAN,84149029
"GEARBOX;RDCR,F/ AG-7102",84834090
"MOTOR;LV,2.2 KW,100L,4P,SIMOTICS,155F",85015229
"PLATE;TAIL LNR M1500,1500 X 1500,PP",84749000
PLATE;NO.1 BTN RECESD CHMBR M1500,84749000
"PLATE;NO.3 BTN MEMB M1500,1500 X 1500,PP",84749000
"PLATE;HD LNR M1500,1500 X 1500,PP",84749000
"BEAM:STRCTRL;UNIVSL 310UB40.4,10.5M",72163290
"BEAM:STRCTRL;UNIVSL 360UB56.7,10.5M",72163290
"ACCESS POINT:WIRELSS;WIFI,2.4/5GHZ",85176251
"ENCLOSURE;ELEC,1680X815X225 MM",85381019
"PULLEY:CNVYR;DRV,1016 MM,OD 762 IN SHL",84835000
"ADHESIVE;EPXY,SUPR STRNGTH ARLDT,2-PRTS",35061000
"ADHESIVE;CONT CMNT,250 ML BTL,LIQ",35061000
"TRUCK:HND;HVY SACK TRLY,160 KG,SOLID",87168090
"ADHESIVE;CONT JOING CMNT,250 ML BTL,CLR",35061000
"ABRASIVE:WHL;CUT-OFF,DIA 127 MM,THK 1 MM",68042200
"ABRASIVE:WHL;CUT-OFF,DIA 125 MM",68042200
"ABRASIVE:WHL;CUT-OFF,FLT CNTR,DIA 102 MM",68042200
"ADHESIVE;500 ML TIN,BLU,CND PIPE",35052000
"TIMER;ELEC,24 HR,16 A,1 CO",91069090
"SADDLE;HLF,32 MM,ZN PLD",73259990
"ADHESIVE;CONT CPSL,CHEMSET,MASONARY AHR",35061000
"CONDUIT:CBL;RGD,100 MM,LG 4 M,PVC,ORNG",39172300
"SWITCH:RTRY;440 V,35 A,2 POS,3P,ON/OFF",85365020
"GLOVES:MED;S,LTX,PWDR FREE,6-1/2 IN",61161090
KIT;MNTG,84818099
"HOSE:ASSY;LG 9 M,ID 32 MM,RED",40094290
Electric EnviroLAV; Dual Export,94069011
Lockable Brackets (Female Side only),73269099
EnviroZYME Toilet Chemical (5L),33079090
EnviroWASH Hand Soap (5L),34013000
EnviroCLEAN Degreasing Spray,34025019
EnviroSOFT Jumbo Toilet Roll (8-pack),48181000
"BUCKET:LDR;R2900XE,9.2M3",84314190
"HANGER:PIPE;FABRICATION, AS 3678-250",73269099
"PUMP;RTRY,1-1/2 IN,3 IN,350 GPM",84136090
SCREW:SET;THRT BSHG F/ AGHAWAGON PMP,73181590
COVER;SEAL CHMBR,84139190
COUPLING;CUR,84139190
"PUMP;BARE,F/ CURRENT PMP AG#3.1/AG#3.2",84139190
"PUMP;RTRY,6 IN,8 IN,17 IN IMPLR SZ",84138119
"CYLINDER:PNEU;AIR ACTUD,BORE 16 IN,KGA24",84819090
"VALVE:BALL;VLV, BALL, MNL",84818072
"FILTER:WTR;GSKT, FLTR, LID & BAS PLTE",84212990
"ASSEMBLY;CSNG,F/ PMP",84139190
"SLEEVE:SFT;MMAA,3X2,420 SST",84139190
"PLATE, 50 X 160 X 2",84749000
"DISC, RD340",84749000
"VALVE:CNTRL;KNF GTE,12 IN,FF FLGD",84818099
PUMP:GEAR;DBL,84137019
"PUMP:GEAR;456 LPM,NG 400",84137019
"MOTOR;ELEC PMP,10 HP",85015229
"REDUCER;ESV STRGHT BORE,TXT515ES",84313990
